customer_id,signup_date,region,acquisition_channel
241,2024-05-11,Central,Social
242,2023-02-08,South,Referral
243,2023-05-17,South,Social
244,2023-05-03,South,Email
245,2024-08-04,Central,Paid Search
246,2023-02-07,North,Email
247,2023-10-28,South,Social
248,2024-02-18,South,Referral
249,2023-12-28,Central,Social
250,2024-04-21,South,Referral
251,2024-07-16,North,Email
252,2023-10-03,South,Paid Search
253,2024-08-02,North,Referral
254,2023-08-11,North,Social
255,2024-11-20,Central,Paid Search
256,2023-12-20,North,Email
257,2024-05-30,North,Paid Search
258,2024-09-04,North,Social
259,2024-07-08,Central,Organic
260,2024-08-18,South,Organic
261,2024-01-11,North,Referral
262,2023-01-31,South,Paid Search
263,2023-12-12,South,Paid Search
264,2023-05-08,North,Organic
265,2024-09-14,North,Paid Search
266,2023-06-15,South,Referral
267,2023-06-09,South,Email
268,2023-06-24,Central,Organic
269,2024-03-25,South,Social
270,2024-02-04,North,Paid Search
271,2024-10-26,Central,Social
272,2023-10-19,South,Paid Search
273,2023-07-17,North,Paid Search
274,2023-02-04,South,Paid Search
275,2023-01-05,Central,Social
276,2023-09-19,South,Paid Search
277,2024-10-10,Central,Paid Search
278,2024-01-02,Central,Referral
279,2024-09-17,North,Social
280,2023-03-13,North,Paid Search
281,2023-03-07,South,Referral
282,2024-08-06,North,Email
283,2023-03-16,North,Organic
284,2023-02-06,North,Social
285,2023-10-10,North,Paid Search
286,2024-10-09,South,Social
287,2024-04-27,Central,Organic
288,2023-03-11,East,Social
289,2024-08-08,North,Organic
290,2024-08-13,South,Paid Search
291,2024-07-14,Central,Email
292,2024-09-23,Central,Paid Search
293,2023-06-17,South,Email
294,2024-11-16,East,Email
295,2023-08-13,South,Email
296,2024-07-15,North,Organic
297,2024-02-10,North,Referral
298,2024-06-29,South,Organic
299,2024-03-15,North,Paid Search
300,2024-03-25,South,Email
301,2024-03-07,Central,Social
302,2024-06-29,Central,Social
303,2024-06-01,South,Paid Search
304,2023-04-05,South,Referral
305,2024-08-01,North,Social
306,2024-01-11,North,Paid Search
307,2023-08-15,Central,Email
308,2023-12-26,Central,Organic
309,2024-11-07,North,Organic
310,2024-08-23,Central,Social
311,2024-08-06,South,Email
312,2023-11-20,South,Organic
313,2024-07-02,Central,Organic
314,2023-09-27,Central,Organic
315,2024-04-25,North,Email
316,2024-03-23,Central,Organic
317,2023-06-24,North,Paid Search
318,2023-07-06,Central,Email
319,2023-02-12,South,Organic
320,2023-04-08,North,Social
321,2023-10-31,North,Paid Search
322,2023-12-01,North,Referral
323,2023-04-26,South,Paid Search
324,2023-10-19,South,Paid Search
325,2024-02-27,North,Organic
326,2023-06-12,South,Social
327,2023-08-25,Central,Referral
328,2023-09-15,Central,Organic
329,2023-12-20,East,Paid Search
330,2023-09-14,North,Email
331,2024-05-30,North,Organic
332,2023-08-18,Central,Paid Search
333,2023-10-31,North,Social
334,2023-09-23,South,Paid Search
335,2023-05-09,North,Organic
336,2024-04-25,North,Paid Search
337,2023-06-14,North,Organic
338,2023-07-27,Central,Paid Search
339,2024-07-08,North,Social
340,2024-10-26,North,Social
341,2024-04-14,South,Organic
342,2024-10-03,North,Referral
343,2024-08-20,Central,Organic
344,2023-12-03,North,Referral
345,2024-06-23,Central,Paid Search
346,2023-08-18,North,Referral
347,2023-11-19,Central,Organic
348,2024-01-10,North,Organic
349,2024-11-03,South,Paid Search
350,2024-08-16,East,Organic
351,2023-12-09,North,Organic
352,2024-04-01,North,Social
353,2023-05-22,North,Referral
354,2024-07-17,Central,Organic
355,2024-01-23,North,Email
356,2024-01-08,South,Referral
357,2024-06-20,South,Email
358,2024-03-19,South,Social
359,2023-02-20,Central,Social
360,2023-07-21,East,Paid Search
361,2023-05-04,North,Social
362,2024-05-29,Central,Email
363,2023-01-25,North,Organic
364,2023-05-22,East,Paid Search
365,2024-02-23,Central,Organic
366,2024-05-01,South,Email
367,2023-12-19,North,Paid Search
368,2024-08-25,East,Social
369,2024-10-05,Central,Referral
370,2023-04-03,Central,Email
371,2024-10-28,East,Organic
372,2024-03-06,Central,Referral
373,2024-03-21,Central,Email
374,2023-03-08,Central,Organic
375,2024-03-11,North,Referral
376,2024-05-23,North,Paid Search
377,2024-02-11,North,Social
378,2023-03-01,North,Paid Search
379,2024-01-02,South,Organic
380,2024-10-17,Central,Organic
381,2024-05-21,Central,Organic
382,2023-04-07,Central,Organic
383,2024-11-02,Central,Social
384,2024-11-02,South,Paid Search
385,2023-04-29,East,Organic
386,2024-07-14,East,Social
387,2023-10-12,Central,Social
388,2024-02-20,North,Social
389,2023-11-08,Central,Email
390,2024-07-01,Central,Paid Search
391,2024-11-28,Central,Referral
392,2024-07-10,South,Organic
393,2024-10-13,Central,Social
394,2024-10-24,North,Email
395,2023-03-05,Central,Referral
396,2023-06-27,Central,Social
397,2024-05-20,North,Social
398,2024-02-18,North,Paid Search
399,2023-02-05,South,Social
400,2023-03-08,Central,Referral
401,2023-12-31,North,Email
402,2024-03-07,Central,Paid Search
403,2023-04-28,South,Organic
404,2023-04-30,North,Social
405,2023-04-01,South,Organic
406,2024-01-31,East,Organic
407,2023-01-06,Central,Paid Search
408,2024-02-05,South,Social
409,2023-11-30,North,Organic
410,2023-11-23,East,Organic
411,2024-04-20,Central,Organic
412,2024-01-01,East,Email
413,2024-05-24,Central,Social
414,2024-06-18,North,Organic
415,2024-10-06,North,Organic
416,2024-07-13,South,Social
417,2023-12-29,Central,Paid Search
418,2023-12-11,North,Social
419,2023-06-14,South,Paid Search
420,2024-02-24,South,Email
421,2023-04-08,Central,Paid Search
422,2024-10-13,Central,Social
423,2024-08-14,North,Organic
424,2023-03-25,South,Email
425,2024-07-04,North,Email
426,2023-03-23,South,Social
427,2024-05-19,Central,Paid Search
428,2023-03-03,Central,Organic
429,2023-12-08,North,Referral
430,2024-04-05,North,Social
431,2024-05-25,South,Organic
432,2023-10-21,Central,Paid Search
433,2024-10-07,Central,Paid Search
434,2024-06-26,East,Referral
435,2023-05-26,East,Social
436,2024-04-14,South,Social
437,2024-05-26,North,Social
438,2023-08-22,Central,Organic
439,2024-05-31,South,Paid Search
440,2024-09-20,Central,Organic
441,2024-07-25,North,Referral
442,2024-06-17,South,Paid Search
443,2024-03-20,Central,Paid Search
444,2023-07-09,Central,Organic
445,2024-07-10,East,Organic
446,2023-09-12,Central,Social
447,2024-01-08,Central,Organic
448,2023-08-09,Central,Organic
449,2023-08-08,Central,Referral
450,2023-04-21,North,Paid Search
451,2024-11-03,South,Paid Search
452,2023-04-14,South,Paid Search
453,2023-03-02,North,Referral
454,2024-10-17,North,Paid Search
455,2024-01-24,South,Referral
456,2023-11-03,North,Email
457,2024-05-31,Central,Social
458,2023-09-26,Central,Paid Search
459,2023-03-31,South,Social
460,2024-05-25,North,Paid Search
461,2023-05-04,South,Paid Search
462,2024-01-23,Central,Paid Search
463,2024-10-26,Central,Paid Search
464,2024-10-17,North,Organic
465,2023-09-10,Central,Paid Search
466,2024-06-30,Central,Organic
467,2024-03-04,North,Paid Search
468,2023-12-02,North,Social
469,2023-04-08,North,Email
470,2023-09-21,Central,Organic
471,2024-04-01,North,Social
472,2024-11-21,East,Paid Search
473,2023-01-04,Central,Organic
474,2024-05-17,South,Organic
475,2024-08-15,East,Organic
476,2024-10-27,North,Organic
477,2023-10-24,South,Organic
478,2023-03-24,South,Paid Search
479,2023-07-09,South,Paid Search
480,2024-08-18,Central,Organic
481,2024-09-06,Central,Organic
482,2024-03-21,North,Organic
483,2023-03-27,Central,Social
484,2023-03-27,East,Paid Search
485,2023-12-01,East,Social
486,2024-02-16,North,Organic
487,2023-01-23,South,Organic
488,2024-04-25,North,Email
489,2024-01-17,South,Organic
490,2023-01-09,North,Organic
491,2023-03-08,East,Organic
492,2023-11-15,South,Email
493,2024-05-20,North,Social
494,2024-07-31,North,Social
495,2023-10-29,South,Email
496,2023-07-26,North,Organic
497,2024-11-08,Central,Email
498,2023-11-17,South,Organic
499,2023-08-09,Central,Social
500,2023-11-06,Central,Paid Search
501,2023-01-09,Central,Paid Search
502,2023-07-31,North,Email
503,2023-12-27,East,Organic
504,2024-10-04,North,Email
505,2024-05-31,North,Paid Search
506,2024-06-30,North,Social
507,2024-01-17,East,Email
508,2023-03-19,North,Organic
509,2023-10-01,South,Email
510,2024-11-28,South,Social
511,2023-01-31,South,Social
512,2024-09-07,East,Organic
513,2024-04-24,South,Social
514,2023-07-18,East,Social
515,2024-06-28,North,Paid Search
516,2024-08-08,South,Organic
517,2023-01-31,Central,Organic
518,2023-03-16,Central,Email
519,2024-04-11,South,Organic
520,2024-11-30,East,Social
521,2023-01-17,South,Email
522,2024-04-10,Central,Organic
523,2023-04-06,Central,Organic
524,2024-03-31,Central,Social
525,2024-03-12,Central,Organic
526,2023-03-05,Central,Social
527,2024-04-21,North,Social
528,2024-09-19,North,Social
529,2024-08-27,South,Paid Search
530,2023-01-21,Central,Social
531,2023-06-22,East,Social
532,2023-06-18,Central,Organic
533,2023-11-14,North,Social
534,2023-04-11,North,Email
535,2024-08-21,North,Social
536,2024-06-27,East,Paid Search
537,2024-07-19,North,Paid Search
538,2023-05-19,Central,Organic
539,2023-01-11,East,Organic
540,2024-09-29,East,Organic
541,2023-07-22,North,Email
542,2024-04-04,North,Organic
543,2024-09-28,North,Referral
544,2023-01-26,North,Organic
545,2023-01-04,North,Paid Search
546,2023-01-04,Central,Paid Search
547,2023-04-20,South,Paid Search
548,2023-02-06,Central,Referral
549,2024-07-27,South,Email
550,2024-02-29,North,Email
551,2024-11-17,South,Organic
552,2024-07-15,Central,Referral
553,2024-11-05,South,Organic
554,2023-06-16,East,Email
555,2023-07-21,Central,Paid Search
556,2024-08-17,North,Paid Search
557,2023-06-21,North,Organic
558,2023-02-10,Central,Organic
559,2024-04-13,East,Organic
560,2024-07-14,Central,Email
561,2024-11-08,South,Referral
562,2024-10-11,Central,Email
563,2023-03-26,North,Organic
564,2024-06-24,North,Social
565,2024-08-15,South,Organic
566,2024-05-03,South,Social
567,2024-07-27,Central,Paid Search
568,2024-08-09,North,Paid Search
569,2023-11-09,South,Social
570,2023-01-29,North,Organic
571,2023-11-16,East,Paid Search
572,2023-05-22,North,Social
573,2023-03-21,North,Organic
574,2023-03-29,Central,Email
575,2024-05-03,Central,Paid Search
576,2023-12-20,Central,Referral
577,2024-01-13,Central,Social
578,2024-06-05,East,Social
579,2024-01-19,Central,Social
580,2024-03-17,Central,Email
581,2023-03-02,Central,Social
582,2024-08-18,North,Organic
583,2023-11-11,Central,Organic
584,2023-04-19,North,Social
585,2024-07-23,South,Organic
586,2024-05-29,North,Organic
587,2023-02-07,East,Organic
588,2023-05-16,Central,Social
589,2023-01-12,South,Organic
590,2023-07-09,Central,Social
591,2023-03-11,North,Referral
592,2024-05-11,South,Referral
593,2024-01-01,South,Paid Search
594,2024-11-17,South,Social
595,2024-06-08,Central,Social
596,2024-03-04,South,Paid Search
597,2023-12-23,South,Social
598,2023-02-08,South,Organic
599,2023-02-19,Central,Email
600,2024-03-07,South,Organic
601,2023-01-04,South,Referral
602,2023-01-30,East,Social
603,2023-06-03,Central,Organic
604,2024-09-10,Central,Social
605,2023-11-18,South,Organic
606,2024-05-11,Central,Referral
607,2023-10-16,South,Social
608,2023-05-02,Central,Organic
609,2023-09-17,North,Organic
610,2023-03-06,South,Referral
611,2024-06-23,North,Paid Search
612,2023-05-09,North,Email
613,2023-09-21,South,Referral
614,2024-11-17,South,Social
615,2024-02-19,South,Organic
616,2023-11-17,North,Social
617,2024-01-16,North,Email
618,2024-07-02,East,Organic
619,2023-06-28,North,Paid Search
620,2024-03-21,North,Organic
621,2024-09-02,North,Paid Search
622,2024-02-05,Central,Social
623,2023-11-09,South,Paid Search
624,2023-04-12,South,Social
625,2023-06-23,South,Paid Search
626,2024-10-24,North,Organic
627,2024-01-14,Central,Organic
628,2023-07-30,Central,Email
629,2023-10-20,North,Social
630,2024-02-09,North,Paid Search
631,2024-01-12,North,Referral
632,2024-05-04,North,Organic
633,2023-06-30,Central,Organic
634,2024-03-30,South,Organic
635,2023-11-06,North,Email
636,2024-10-20,Central,Social
637,2023-04-21,South,Social
638,2023-04-14,South,Organic
639,2023-11-20,South,Organic
640,2023-12-22,Central,Social
641,2024-04-28,South,Paid Search
642,2023-10-10,North,Email
643,2024-10-01,Central,Referral
644,2023-11-28,North,Paid Search
645,2023-04-01,Central,Social
646,2023-03-25,Central,Email
647,2024-11-12,North,Paid Search
648,2023-04-04,South,Social
649,2024-10-25,North,Email
650,2023-07-14,North,Organic
651,2023-03-07,North,Email
652,2023-08-02,Central,Organic
653,2024-03-06,North,Social
654,2023-10-27,Central,Referral
655,2024-07-03,North,Social
656,2024-03-03,South,Paid Search
657,2023-10-08,East,Social
658,2024-03-20,Central,Organic
659,2024-11-11,South,Organic
660,2023-10-16,South,Organic
661,2023-04-18,East,Social
662,2023-10-14,Central,Paid Search
663,2024-08-11,South,Organic
664,2023-06-02,South,Email
665,2024-10-26,South,Paid Search
666,2024-02-16,Central,Paid Search
667,2024-02-26,North,Paid Search
668,2023-08-10,North,Organic
669,2024-10-06,Central,Social
670,2023-01-26,Central,Paid Search
671,2023-07-29,Central,Organic
672,2023-10-20,Central,Email
673,2023-12-01,Central,Referral
674,2023-11-28,South,Social
675,2023-04-14,North,Email
676,2023-06-07,North,Email
677,2023-03-08,South,Paid Search
678,2024-02-05,South,Social
679,2023-09-03,East,Social
680,2024-02-01,South,Organic
681,2024-02-17,South,Organic
682,2024-05-06,North,Organic
683,2024-01-18,Central,Social
684,2024-03-29,North,Referral
685,2024-02-16,Central,Referral
686,2024-04-01,East,Paid Search
687,2024-03-07,Central,Organic
688,2023-08-10,Central,Paid Search
689,2023-06-22,North,Social
690,2024-07-05,North,Email
691,2023-08-28,North,Email
692,2024-01-20,North,Email
693,2023-05-18,East,Email
694,2023-10-29,Central,Email
695,2024-01-06,South,Paid Search
696,2024-03-14,South,Organic
697,2024-01-04,North,Organic
698,2023-09-10,North,Paid Search
699,2024-11-04,South,Organic
700,2023-12-25,North,Organic
701,2024-07-19,South,Email
702,2024-05-30,North,Organic
703,2024-01-26,South,Email
704,2024-09-12,South,Referral
705,2023-03-31,North,Social
706,2024-10-06,North,Social
707,2024-08-18,East,Paid Search
708,2023-12-19,North,Social
709,2024-05-28,Central,Organic
710,2023-12-31,Central,Email
711,2023-07-08,North,Paid Search
712,2024-07-13,South,Organic
713,2023-06-22,South,Social
714,2023-08-09,Central,Social
715,2023-12-30,South,Paid Search
716,2024-08-09,North,Social
717,2023-09-26,North,Organic
718,2023-12-12,Central,Social
719,2023-01-30,East,Organic
720,2023-03-23,North,Organic
721,2023-02-09,North,Organic
722,2023-02-20,Central,Paid Search
723,2024-08-30,South,Paid Search
724,2024-08-12,North,Paid Search
725,2024-07-29,Central,Organic
726,2023-02-08,South,Organic
727,2023-02-24,Central,Social
728,2023-07-16,North,Organic
729,2024-01-31,North,Social
730,2023-08-22,Central,Email
731,2023-12-08,Central,Paid Search
732,2023-05-02,South,Email
733,2024-05-26,South,Organic
734,2023-08-08,South,Organic
735,2023-02-16,East,Social
736,2024-06-03,Central,Referral
737,2024-09-23,Central,Referral
738,2023-01-11,East,Organic
739,2023-11-02,North,Referral
740,2024-08-02,South,Paid Search
741,2024-05-09,South,Paid Search
742,2024-08-22,North,Organic
743,2023-10-18,Central,Email
744,2023-09-18,North,Organic
745,2024-05-11,North,Referral
746,2023-04-18,Central,Social
747,2023-06-17,North,Social
748,2024-02-25,South,Social
749,2024-04-12,South,Email
750,2023-03-25,South,Organic
751,2023-12-22,North,Organic
752,2023-09-13,North,Social
753,2023-12-18,North,Paid Search
754,2024-11-01,North,Organic
755,2023-02-23,East,Organic
756,2024-11-27,Central,Paid Search
757,2023-11-11,North,Organic
758,2024-06-24,South,Organic
759,2023-10-25,Central,Email
760,2023-08-06,North,Paid Search
761,2024-06-23,North,Email
762,2024-04-26,South,Email
763,2023-04-11,South,Organic
764,2024-05-08,North,Social
765,2024-06-11,South,Social
766,2023-09-29,South,Social
767,2024-10-09,South,Organic
768,2024-03-24,North,Organic
769,2023-08-22,North,Organic
770,2023-01-08,South,Social
771,2024-04-17,North,Email
772,2023-05-27,Central,Social
773,2024-06-13,South,Social
774,2024-01-03,North,Email
775,2023-11-23,South,Social
776,2023-04-25,East,Organic
777,2024-05-13,South,Email
778,2023-04-27,Central,Paid Search
779,2023-10-20,South,Organic
780,2024-08-08,Central,Paid Search
781,2024-10-06,South,Email
782,2024-11-23,South,Organic
783,2024-11-01,South,Paid Search
784,2024-01-25,North,Organic
785,2023-05-21,North,Organic
786,2024-08-10,North,Organic
787,2024-07-15,Central,Social
788,2024-11-24,Central,Email
789,2024-03-31,Central,Organic
790,2023-04-10,Central,Paid Search
791,2023-12-19,South,Organic
792,2023-11-10,South,Organic
793,2024-08-13,North,Social
794,2023-10-02,South,Social
795,2023-08-19,South,Social
796,2023-02-26,Central,Paid Search
797,2024-08-07,North,Social
798,2024-06-12,South,Organic
799,2023-01-29,East,Organic
800,2023-10-31,South,Email
801,2023-12-02,South,Referral
802,2023-11-25,East,Email
803,2024-10-05,Central,Email
804,2023-04-16,South,Social
805,2023-08-03,Central,Email
806,2023-05-07,East,Paid Search
807,2023-06-20,North,Organic
808,2024-09-26,Central,Organic
809,2024-10-20,South,Organic
810,2023-02-01,North,Organic
811,2024-03-18,South,Paid Search
812,2023-06-12,Central,Social
813,2023-05-15,East,Referral
814,2023-07-24,South,Social
815,2023-05-17,North,Organic
816,2023-12-10,South,Social
817,2024-11-27,North,Paid Search
818,2024-02-15,Central,Organic
819,2024-05-21,South,Paid Search
820,2023-12-12,South,Paid Search
821,2023-01-10,North,Organic
822,2023-02-28,North,Referral
823,2023-07-08,South,Referral
824,2023-06-20,Central,Social
825,2024-08-11,Central,Organic
826,2024-08-13,North,Referral
827,2024-08-20,Central,Social
828,2024-03-22,South,Organic
829,2024-01-25,North,Social
830,2024-03-30,Central,Paid Search
831,2023-10-12,East,Paid Search
832,2024-04-14,North,Organic
833,2024-07-10,South,Paid Search
834,2024-06-18,North,Organic
835,2024-03-05,South,Organic
836,2023-02-10,South,Organic
837,2024-05-22,South,Email
838,2023-09-14,North,Paid Search
839,2024-06-04,Central,Paid Search
840,2024-01-13,South,Paid Search
841,2024-09-08,North,Email
842,2023-08-25,North,Social
843,2024-10-13,North,Email
844,2024-08-14,East,Paid Search
845,2023-08-20,South,Organic
846,2023-12-04,South,Social
847,2024-01-07,South,Paid Search
848,2024-06-22,Central,Referral
849,2024-04-27,Central,Email
850,2024-08-19,Central,Paid Search
851,2023-09-16,South,Email
852,2023-12-20,North,Social
853,2023-10-29,South,Organic
854,2024-09-28,South,Paid Search
855,2023-08-02,Central,Organic
856,2024-02-15,Central,Referral
857,2023-03-26,North,Organic
858,2024-08-18,East,Paid Search
859,2023-09-26,South,Social
860,2023-08-27,East,Organic
861,2024-02-13,North,Organic
862,2023-12-16,North,Social
863,2024-08-16,North,Organic
864,2024-01-07,North,Paid Search
865,2023-12-28,North,Paid Search
866,2023-03-15,North,Organic
867,2023-01-16,East,Organic
868,2023-10-06,North,Referral
869,2024-11-29,North,Email
870,2024-10-04,South,Organic
871,2024-03-16,Central,Email
872,2024-03-17,South,Social
873,2023-10-02,South,Social
874,2023-05-05,South,Social
875,2023-01-06,South,Social
876,2023-08-26,Central,Referral
877,2023-08-10,South,Paid Search
878,2023-05-15,Central,Social
879,2023-07-01,Central,Paid Search
880,2023-01-18,Central,Organic
881,2024-03-01,North,Social
882,2024-10-11,South,Organic
883,2024-04-28,North,Organic
884,2023-11-10,North,Organic
885,2023-10-22,North,Organic
886,2023-08-04,South,Social
887,2023-04-10,North,Social
888,2024-02-23,South,Paid Search
889,2024-02-01,South,Organic
890,2023-01-06,North,Paid Search
891,2023-10-18,South,Paid Search
892,2023-07-14,North,Social
893,2023-04-30,North,Social
894,2024-05-07,South,Paid Search
895,2024-01-04,South,Paid Search
896,2024-03-19,North,Email
897,2024-05-14,Central,Referral
898,2024-11-18,North,Paid Search
899,2024-07-15,Central,Paid Search
900,2024-03-10,South,Organic
901,2024-09-07,Central,Email
902,2023-12-01,South,Paid Search
903,2024-11-20,North,Organic
904,2024-06-17,South,Email
905,2024-03-31,South,Social
906,2024-09-24,South,Organic
907,2023-12-27,North,Organic
908,2024-05-19,Central,Organic
909,2023-07-19,Central,Social
